Overall_Accuracy,Average_Precision,Average_Recall,Average_F1-Score,Malicious_Precision,Malicious_Recall,Malicious_F1-score,Benign_Precision,Benign_Recall,Benign_F1-score,True_Negatives,False_Positives,False_Negatives,True_Positives
0.902358104,0.829586537,0.851952738,0.840048362,0.709916252,0.773217,0.740215775,0.949256822,0.930688475,0.939880948,64184,4780,3431,11698
0.899432771,0.824638019,0.84841487,0.83569527,0.701109236,0.768722321,0.733360658,0.948166802,0.928107418,0.938029882,64006,4958,3499,11630
0.899563578,0.824781468,0.848933204,0.836000248,0.701161881,0.769845991,0.733900441,0.948401055,0.928020416,0.938100054,64000,4964,3482,11647
0.901228402,0.827373,0.851908946,0.838765463,0.705227697,0.774869456,0.738410179,0.949518304,0.928948437,0.939120747,64064,4900,3406,11723
0.899290072,0.824369116,0.848379466,0.835525809,0.700554083,0.768854518,0.733116945,0.948184149,0.927904414,0.937934673,63992,4972,3497,11632
0.90062193,0.826629259,0.849913854,0.837480709,0.704616872,0.770705268,0.736180825,0.948641646,0.929122441,0.938780593,64076,4888,3469,11660
0.900324641,0.825674826,0.851667522,0.837682024,0.701728159,0.775662635,0.73684541,0.949621493,0.927672409,0.938518638,63976,4988,3394,11735
0.89934953,0.824647234,0.847615949,0.83535596,0.701517809,0.766805473,0.732710162,0.947776659,0.928426425,0.938001758,64028,4936,3528,11601
0.900348424,0.825919435,0.850727461,0.837423253,0.702709197,0.773217,0.736278953,0.949129674,0.928237921,0.938567554,64015,4949,3431,11698
0.901299751,0.828071858,0.849449949,0.838097982,0.707909639,0.768457928,0.736942191,0.948234077,0.93044197,0.939253773,64167,4797,3503,11626
0.899016565,0.823622191,0.849451062,0.835551867,0.698439275,0.772027232,0.733391938,0.948805106,0.926874891,0.937711796,63921,5043,3449,11680
0.897351742,0.820837747,0.847533076,0.833121629,0.693443697,0.769713795,0.729590878,0.948231798,0.925352358,0.936652381,63816,5148,3484,11645
0.899777627,0.824674217,0.85143721,0.837002896,0.699707933,0.775927028,0.735849057,0.949640502,0.926947393,0.938156736,63926,5038,3390,11739
0.900479231,0.826200449,0.850600821,0.83753074,0.703369434,0.772688215,0.736401146,0.949031464,0.928513427,0.938660334,64034,4930,3439,11690
0.899813302,0.824880411,0.850762389,0.836837549,0.700478469,0.774142376,0.735470501,0.949282353,0.927382402,0.938204596,63956,5008,3417,11712
0.900312749,0.825849491,0.850731509,0.837384678,0.702558251,0.773283099,0.736226047,0.94914073,0.92817992,0.938543309,64011,4953,3430,11699
0.900336532,0.826059273,0.849972041,0.837179698,0.703375527,0.771300152,0.735773511,0.948743019,0.92864393,0.938585885,64043,4921,3460,11669
0.901097594,0.827124417,0.851880793,0.838610423,0.704712105,0.775001652,0.738187427,0.949536728,0.928759933,0.939033419,64051,4913,3404,11725
0.900086809,0.825306977,0.85123873,0.837286893,0.701154237,0.774935554,0.736200942,0.949459716,0.927541906,0.938372844,63967,4997,3405,11724
0.898861974,0.823320219,0.849485805,0.835391193,0.697778574,0.772357724,0.733176471,0.948861865,0.926613886,0.937605916,63903,5061,3444,11685
