Overall_Accuracy,Average_Precision,Average_Recall,Average_F1-Score,Malicious_Precision,Malicious_Recall,Malicious_F1-score,Benign_Precision,Benign_Recall,Benign_F1-score,True_Negatives,False_Positives,False_Negatives,True_Positives
0.915724258,0.848318009,0.883243577,0.864143351,0.734487987,0.832507106,0.780431886,0.962148032,0.933980048,0.947854815,64411,4553,2534,12595
0.916081006,0.849066675,0.883099896,0.864532726,0.736161498,0.83158173,0.780967752,0.961971852,0.934618062,0.9480977,64455,4509,2548,12581
0.913976193,0.846000995,0.878823939,0.860953795,0.731728794,0.823914337,0.775090163,0.960273196,0.933733542,0.946817427,64394,4570,2664,12465
0.917032333,0.851111467,0.882647951,0.865558198,0.740756054,0.828937802,0.782370005,0.961466879,0.9363581,0.948746391,64575,4389,2588,12541
0.910575197,0.838524243,0.883225931,0.858090976,0.713460136,0.84050499,0.771789269,0.963588351,0.925946871,0.944392682,63857,5107,2413,12716
0.914059434,0.845424751,0.881738374,0.861792277,0.729043478,0.831251239,0.776799778,0.961806023,0.932225509,0.946784775,64290,4674,2553,12576
0.916758827,0.849804616,0.885396479,0.865909297,0.736597008,0.836406901,0.783335397,0.963012225,0.934386056,0.948483198,64439,4525,2475,12654
0.91700855,0.851766471,0.880234148,0.864925942,0.743341694,0.822790667,0.78105098,0.960191248,0.937677629,0.948800904,64666,4298,2681,12448
0.914166459,0.845675338,0.881571435,0.861876651,0.729663822,0.830656355,0.776891691,0.961686855,0.932486515,0.94686161,64308,4656,2562,12567
0.915343727,0.847887496,0.882005412,0.863381386,0.734183136,0.829929275,0.779125686,0.961591856,0.93408155,0.947637086,64418,4546,2573,12556
0.914059434,0.84551426,0.881377189,0.861701171,0.729415863,0.830325864,0.776606596,0.961612657,0.932428513,0.946795745,64304,4660,2567,12562
0.913369722,0.84382809,0.882840003,0.86125647,0.725065993,0.835151034,0.77622485,0.962590187,0.930528972,0.94628809,64173,4791,2494,12635
0.913940518,0.845191707,0.881743269,0.861653095,0.728541643,0.831449534,0.776601327,0.961841771,0.932037005,0.946704863,64277,4687,2550,12579
0.916556669,0.849240262,0.886021395,0.865820899,0.735075924,0.838323749,0.783312232,0.963404599,0.933719042,0.948329566,64393,4571,2446,12683
0.917365298,0.851548035,0.883495929,0.866167935,0.741269467,0.830590257,0.783392039,0.961826604,0.936401601,0.94894383,64578,4386,2563,12566
0.915391293,0.848581378,0.879789904,0.862879417,0.736764358,0.82417873,0.778023898,0.960398398,0.935401079,0.947734936,64509,4455,2660,12469
0.915973981,0.848383439,0.884892169,0.864848955,0.733805022,0.836340802,0.781724947,0.962961855,0.933443536,0.947972963,64374,4590,2476,12653
0.915724258,0.847620313,0.885978265,0.86481899,0.731624424,0.839513517,0.781864631,0.963616202,0.932443014,0.947773348,64305,4659,2428,12701
0.913155673,0.843615999,0.88198713,0.860790122,0.725040258,0.833300284,0.775409786,0.96219174,0.930673975,0.946170459,64183,4781,2522,12607
0.914903738,0.846632118,0.883517284,0.863236897,0.730740291,0.834490052,0.779176696,0.962523946,0.932544516,0.947297098,64312,4652,2504,12625
