Overall_Accuracy,Average_Precision,Average_Recall,Average_F1-Score,Malicious_Precision,Malicious_Recall,Malicious_F1-score,Benign_Precision,Benign_Recall,Benign_F1-score,True_Negatives,False_Positives,False_Negatives,True_Positives
0.912882166,0.846652458,0.868559715,0.856957567,0.738143197,0.799325798,0.767517136,0.955161719,0.937793631,0.946397998,64674,4290,3036,12093
0.911990296,0.844427568,0.869821879,0.856246291,0.732799132,0.803952674,0.766728654,0.956056004,0.935691085,0.945763929,64529,4435,2966,12163
0.910777354,0.843309225,0.864954531,0.853490855,0.732783883,0.793376958,0.761877559,0.953834566,0.936532104,0.945104151,64587,4377,3126,12003
0.911752465,0.844711218,0.86712278,0.855233404,0.734713764,0.79740895,0.764778598,0.954708673,0.93683661,0.94568821,64608,4356,3065,12064
0.913393505,0.847424061,0.869568043,0.857835336,0.739294864,0.80111045,0.768962345,0.955553258,0.938025637,0.946708326,64690,4274,3009,12120
0.912549201,0.845829575,0.868975885,0.856676633,0.736192964,0.800912155,0.767190072,0.955466186,0.937039615,0.946163194,64622,4342,3012,12117
0.912204345,0.845135095,0.868894625,0.856247837,0.734755728,0.801242647,0.766560218,0.955514461,0.936546604,0.945935456,64588,4376,3007,12122
0.91388106,0.847835802,0.87159383,0.858955507,0.739188452,0.805539031,0.770938765,0.956483152,0.937648628,0.946972249,64664,4300,2942,12187
0.911205451,0.84313188,0.868698395,0.855020443,0.73058866,0.802300218,0.764767035,0.955675099,0.935096572,0.945273851,64488,4476,2991,12138
0.912347044,0.845049231,0.870219977,0.856773554,0.733928356,0.804415361,0.767556999,0.956170106,0.936024593,0.945990108,64552,4412,2959,12170
0.909980617,0.841492048,0.865552326,0.852724858,0.728631057,0.796153083,0.760897031,0.954353039,0.934951569,0.944552686,64478,4486,3084,12045
0.912358936,0.845664624,0.86818911,0.85623881,0.736223589,0.799193602,0.766417343,0.95510566,0.937184618,0.946060278,64632,4332,3038,12091
0.911764356,0.844396788,0.868290983,0.855566018,0.733478709,0.80038337,0.765471901,0.955314867,0.936198596,0.945660134,64564,4400,3020,12109
0.913678903,0.847296547,0.871986556,0.858819918,0.73785058,0.806860995,0.770814258,0.956742513,0.937112116,0.946825577,64627,4337,2922,12207
0.913298372,0.847178566,0.869716434,0.857762469,0.738701425,0.801639236,0.768884522,0.955655707,0.937793631,0.946640417,64674,4290,3001,12128
0.91358377,0.847085361,0.87203175,0.858719128,0.737379227,0.807125388,0.770677522,0.956791495,0.936938113,0.946760735,64615,4349,2918,12211
0.912192454,0.845376903,0.867984412,0.855986783,0.735711242,0.798929209,0.766018125,0.955042563,0.937039615,0.945955441,64622,4342,3042,12087
0.911800031,0.844847678,0.866996987,0.855254969,0.735064618,0.79701236,0.764786097,0.954630738,0.936981614,0.945723841,64618,4346,3071,12058
0.910634654,0.842530936,0.866647657,0.853791342,0.73030853,0.797937735,0.762626741,0.954753341,0.935357578,0.944955943,64506,4458,3057,12072
0.910349256,0.842230358,0.865622287,0.853174732,0.730167394,0.795756494,0.761552329,0.954293321,0.935488081,0.944797136,64515,4449,3090,12039
