Overall_Accuracy,Average_Precision,Average_Recall,Average_F1-Score,Malicious_Precision,Malicious_Recall,Malicious_F1-score,Benign_Precision,Benign_Recall,Benign_F1-score,True_Negatives,False_Positives,False_Negatives,True_Positives
0.919065796,0.861379656,0.866241245,0.863780097,0.77038529,0.783726618,0.776998689,0.952374021,0.948755873,0.950561504,65430,3534,3272,11857
0.918043119,0.860139206,0.863399022,0.861755403,0.769095067,0.778042171,0.773542748,0.951183346,0.948755873,0.949968059,65430,3534,3358,11771
0.919184712,0.86113149,0.867500499,0.864263867,0.769275512,0.786767136,0.777923012,0.952987467,0.948233861,0.950604721,65394,3570,3226,11903
0.918994447,0.860568263,0.86777148,0.864103071,0.767961853,0.787758609,0.777734273,0.953174673,0.947784351,0.95047187,65363,3601,3211,11918
0.919791184,0.862267017,0.868231442,0.865203693,0.771326861,0.787692511,0.779423788,0.953207173,0.948770373,0.950983598,65431,3533,3212,11917
0.919957666,0.862533558,0.868539336,0.86549032,0.771744758,0.788221297,0.779896014,0.953322358,0.948857375,0.951084626,65437,3527,3204,11925
0.919291737,0.861304284,0.867694745,0.864447067,0.769548921,0.787097627,0.778224357,0.953059648,0.948291862,0.950669778,65398,3566,3221,11908
0.918625807,0.860616758,0.865560206,0.863057014,0.769095869,0.782669046,0.775823096,0.952137648,0.948451366,0.950290932,65409,3555,3288,11841
0.917947986,0.858913856,0.865791921,0.862291623,0.765400245,0.784321502,0.774745364,0.952427468,0.94726234,0.949837882,65327,3637,3263,11866
0.919589026,0.861902723,0.867953396,0.864881137,0.770689097,0.787295922,0.778904002,0.95311635,0.948610869,0.950858272,65420,3544,3218,11911
0.918780398,0.860223298,0.867382988,0.863737067,0.767416382,0.787097627,0.777132415,0.953030215,0.947668349,0.950341719,65355,3609,3221,11908
0.918233384,0.859750547,0.865398348,0.862533252,0.767346939,0.782867341,0.775029446,0.952154155,0.947929354,0.950037058,65373,3591,3285,11844
0.918328517,0.860408994,0.864372793,0.862370643,0.769210715,0.780091216,0.774612759,0.951607273,0.94865437,0.950128527,65423,3541,3327,11802
0.917317732,0.858763582,0.862543979,0.860635253,0.766597104,0.776984599,0.771755901,0.95093006,0.948103358,0.949514605,65385,3579,3374,11755
0.918839856,0.860865466,0.866180889,0.86348683,0.769330566,0.783924912,0.776559175,0.952400367,0.948436866,0.950414484,65408,3556,3269,11860
0.918078794,0.859648448,0.864762318,0.862171593,0.767428275,0.781479278,0.774390044,0.951868621,0.948045357,0.949953142,65381,3583,3306,11823
0.918744723,0.8617501,0.86359459,0.862667979,0.77239296,0.777447287,0.774911882,0.951107239,0.949741894,0.950424076,65498,3466,3367,11762
0.920326305,0.863599372,0.868119117,0.865833211,0.774185154,0.786568841,0.780327869,0.953013591,0.949669393,0.951338553,65493,3471,3229,11900
0.916770718,0.857505341,0.862442662,0.859942264,0.763995324,0.777579483,0.770727553,0.951015358,0.947305841,0.949156975,65330,3634,3365,11764
0.918150143,0.859832491,0.864728422,0.862249505,0.767831623,0.781280984,0.77449792,0.95183336,0.94817586,0.95000109,65390,3574,3309,11820
